date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT,h,c
8/12/2019,0.730938,0.834825,2630,2828,8987,2178,1076513,0,128151
8/19/2019,0.840615,0.942052,2907,3501,10096,2147,1071703,0,281834
8/26/2019,0.989217,1.07895,3394,4220,11817,2169,1095230,0,534607
9/2/2019,1.14059,1.20634,3801,4535,13158,2189,1090741,0,873607
9/9/2019,1.23272,1.2757,3905,5499,14831,2221,1162580,0,1393826
9/16/2019,1.24529,1.39156,4463,5673,15977,2198,1148137,0,2817207
9/23/2019,1.33771,1.49698,4970,6104,17414,2180,1163278,0,4179976
9/30/2019,1.49064,1.50415,6218,7658,21915,2896,1456967,0,5669539
10/7/2019,1.59269,1.59823,6550,7638,22953,2924,1436150,28,6883544
10/14/2019,1.72517,1.73838,7273,8277,24857,2950,1429897,34,7525535
10/21/2019,1.83428,1.8605,7892,9349,27419,2980,1473740,50,7111918
10/28/2019,2.04049,2.01425,8658,10068,28910,2989,1435277,57,6404040
11/4/2019,2.39351,2.36364,10557,12551,34586,3007,1463253,69,5101373
11/11/2019,2.63245,2.64431,11446,13671,37728,2976,1426760,87,4264303
11/18/2019,2.91944,2.97548,12714,17049,44148,2971,1483729,122,3376870
11/25/2019,3.41066,3.44787,14389,14717,43817,2971,1270842,184,2857388
12/2/2019,3.2622,3.31577,13839,16389,48877,2977,1474075,271,1573418
12/9/2019,3.94308,3.86928,14728,21877,56444,2947,1458774,366,1847197
12/16/2019,5.06529,5.02757,17999,29177,71584,2913,1423829,502,1666594
12/23/2019,7.06161,7.15315,24097,34004,95757,2905,1338669,705,1368270
12/30/2019,5.91974,6.22926,21564,23383,88681,2957,1423620,1301,629829
1/6/2020,4.94176,5.06974,15547,22747,75585,2987,1490905,1549,656184
1/13/2020,5.33174,5.35782,16587,29657,79746,2983,1488404,1321,908460
1/20/2020,6.08106,6.0261,18558,35216,90072,2984,1494697,1225,764079
1/27/2020,6.74724,6.87271,20299,44117,108307,2984,1575900,1345,595610
2/3/2020,6.7998,7.08261,20270,45491,111289,2994,1571300,1554,580792
2/10/2020,6.11292,6.22068,17393,36909,95418,2958,1533883,1759,444031
2/17/2020,5.55671,5.62148,15233,28328,79832,2909,1420123,1463,346602
2/24/2020,5.12279,5.10226,13817,25487,74809,2934,1466192,1466,274428
3/2/2020,5.26652,5.28928,13888,26396,78779,2901,1489410,1286,298395
3/9/2020,5.67081,6.29229,14149,27752,89571,2836,1423503,1153,374686
3/16/2020,6.38029,7.35285,10790,17512,78584,2798,1068755,826,325055
3/23/2020,4.91692,6.22687,5129,8322,53142,2727,853431,367,147236
3/30/2020,3.78625,4.82995,2359,4852,36251,2684,750546,92,46623
4/6/2020,2.80122,3.47366,1496,3426,24974,2686,718953,35,21547
4/13/2020,2.12879,2.57382,1068,2666,18265,2666,709645,17,9803
4/20/2020,1.73315,2.02032,926,2317,15164,2652,750576,21,6718
4/27/2020,1.40932,1.62094,864,2098,12817,2624,790715,9,6311
5/4/2020,1.18336,1.35262,729,1889,11066,2611,818113,0,5569
5/11/2020,1.11451,1.23819,788,1960,10480,2601,846400,0,3953
5/18/2020,1.00534,1.07598,1224,2402,11735,2971,1090638,0,3289
5/25/2020,0.88827,0.885843,805,1898,9614,2950,1085294,0,2927
6/1/2020,0.814062,0.819928,802,1969,9325,2931,1137295,0,2161
6/8/2020,0.836751,0.814575,881,2141,9580,2902,1176074,0,0
6/15/2020,0.928456,0.950979,1006,2679,11866,2935,1247767,0,0
6/22/2020,1.14217,1.20306,1216,3491,15499,2896,1288294,0,0
6/29/2020,1.27401,1.38424,1395,3970,17843,2897,1289006,0,0
7/6/2020,1.34951,1.47311,1545,4094,20046,2918,1360798,0,0
7/13/2020,1.34471,1.43761,1658,4075,19260,2894,1339726,0,0
7/20/2020,1.22153,1.21898,1634,3560,16533,2953,1356301,0,0
7/27/2020,1.15258,1.15067,1609,3497,15524,2992,1349125,0,0
8/3/2020,1.0626,1.05662,1570,3271,14117,2956,1336052,0,0
8/10/2020,0.979884,0.981699,1592,3167,13193,2978,1343895,0,101720
8/17/2020,0.969202,0.961833,1804,3283,12952,2930,1346595,0,439344
8/24/2020,1.00022,0.970543,1866,3951,13159,2967,1355839,0,1364435
8/31/2020,0.920817,0.919002,1759,3609,12316,2921,1340149,0,1963648
9/7/2020,1.0355,0.978032,1999,3822,13035,2915,1332779,0,3243773
9/14/2020,0.974333,0.955677,2070,3628,13049,2943,1365420,0,4439730
9/21/2020,1.06462,1.03845,2286,4366,14586,2941,1404590,0,6623315
9/28/2020,1.09211,1.08024,2454,4715,16466,3246,1524289,0,7227623
10/5/2020,1.21201,1.19451,2558,5239,19144,3318,1602667,1,8212261
10/12/2020,1.11151,1.09796,2313,4613,17235,3301,1569727,2,8885940
10/19/2020,1.18662,1.15393,2454,4834,18133,3330,1571417,6,7859780
10/26/2020,1.25262,1.18924,2512,4916,18554,3421,1560158,7,6733674
11/2/2020,1.44427,1.33759,2726,5825,21370,3425,1597645,7,5252859
11/9/2020,1.48969,1.37845,2776,5544,22598,3391,1639379,12,3984207
11/16/2020,1.56064,1.43236,2692,5342,22709,3334,1585429,13,3130833
11/23/2020,1.61944,1.49959,2484,4584,21313,3333,1421255,11,2595396
11/30/2020,1.57347,1.44967,2597,4861,22251,3339,1534905,8,1357296
12/7/2020,1.51939,1.42617,2504,4692,22103,3358,1549810,17,1487170
12/14/2020,1.50599,1.39797,2482,4282,20874,3299,1493163,13,1242143
12/21/2020,1.55485,1.45725,2323,3564,19836,3301,1361197,11,938010
12/28/2020,1.58903,1.53781,2583,3933,22423,3280,1458113,13,519683
1/4/2021,1.47519,1.4348,2414,4549,22711,3316,1582870,11,507868
1/11/2021,1.28752,1.2606,2297,3975,19018,3278,1508647,8,434450
1/18/2021,1.25172,1.21098,2566,4056,18350,3315,1515305,5,332333
1/25/2021,1.10177,1.12283,2558,3953,16896,3324,1504764,9,274755
2/1/2021,1.16565,1.08237,2636,4015,16098,3295,1487296,11,204459
2/8/2021,1.00609,0.975086,2552,3730,14079,3246,1443873,6,167007
2/15/2021,0.986101,0.907555,2318,3144,12591,3256,1387354,4,110273
2/22/2021,0.864388,0.860857,2543,3541,13344,3276,1550083,5,117381
