date,ILITOTAL,NUM. OF PROVIDERS,OT,h,c
8/12/2019,8987,2178,1076513,0,128151
8/19/2019,10096,2147,1071703,0,281834
8/26/2019,11817,2169,1095230,0,534607
9/2/2019,13158,2189,1090741,0,873607
9/9/2019,14831,2221,1162580,0,1393826
9/16/2019,15977,2198,1148137,0,2817207
9/23/2019,17414,2180,1163278,0,4179976
9/30/2019,21915,2896,1456967,0,5669539
10/7/2019,22953,2924,1436150,28,6883544
10/14/2019,24857,2950,1429897,34,7525535
10/21/2019,27419,2980,1473740,50,7111918
10/28/2019,28910,2989,1435277,57,6404040
11/4/2019,34586,3007,1463253,69,5101373
11/11/2019,37728,2976,1426760,87,4264303
11/18/2019,44148,2971,1483729,122,3376870
11/25/2019,43817,2971,1270842,184,2857388
12/2/2019,48877,2977,1474075,271,1573418
12/9/2019,56444,2947,1458774,366,1847197
12/16/2019,71584,2913,1423829,502,1666594
12/23/2019,95757,2905,1338669,705,1368270
12/30/2019,88681,2957,1423620,1301,629829
1/6/2020,75585,2987,1490905,1549,656184
1/13/2020,79746,2983,1488404,1321,908460
1/20/2020,90072,2984,1494697,1225,764079
1/27/2020,108307,2984,1575900,1345,595610
2/3/2020,111289,2994,1571300,1554,580792
2/10/2020,95418,2958,1533883,1759,444031
2/17/2020,79832,2909,1420123,1463,346602
2/24/2020,74809,2934,1466192,1466,274428
3/2/2020,78779,2901,1489410,1286,298395
3/9/2020,89571,2836,1423503,1153,374686
3/16/2020,78584,2798,1068755,826,325055
3/23/2020,53142,2727,853431,367,147236
3/30/2020,36251,2684,750546,92,46623
4/6/2020,24974,2686,718953,35,21547
4/13/2020,18265,2666,709645,17,9803
4/20/2020,15164,2652,750576,21,6718
4/27/2020,12817,2624,790715,9,6311
5/4/2020,11066,2611,818113,0,5569
5/11/2020,10480,2601,846400,0,3953
5/18/2020,11735,2971,1090638,0,3289
5/25/2020,9614,2950,1085294,0,2927
6/1/2020,9325,2931,1137295,0,2161
6/8/2020,9580,2902,1176074,0,0
6/15/2020,11866,2935,1247767,0,0
6/22/2020,15499,2896,1288294,0,0
6/29/2020,17843,2897,1289006,0,0
7/6/2020,20046,2918,1360798,0,0
7/13/2020,19260,2894,1339726,0,0
7/20/2020,16533,2953,1356301,0,0
7/27/2020,15524,2992,1349125,0,0
8/3/2020,14117,2956,1336052,0,0
8/10/2020,13193,2978,1343895,0,101720
8/17/2020,12952,2930,1346595,0,439344
8/24/2020,13159,2967,1355839,0,1364435
8/31/2020,12316,2921,1340149,0,1963648
9/7/2020,13035,2915,1332779,0,3243773
9/14/2020,13049,2943,1365420,0,4439730
9/21/2020,14586,2941,1404590,0,6623315
9/28/2020,16466,3246,1524289,0,7227623
10/5/2020,19144,3318,1602667,1,8212261
10/12/2020,17235,3301,1569727,2,8885940
10/19/2020,18133,3330,1571417,6,7859780
10/26/2020,18554,3421,1560158,7,6733674
11/2/2020,21370,3425,1597645,7,5252859
11/9/2020,22598,3391,1639379,12,3984207
11/16/2020,22709,3334,1585429,13,3130833
11/23/2020,21313,3333,1421255,11,2595396
11/30/2020,22251,3339,1534905,8,1357296
12/7/2020,22103,3358,1549810,17,1487170
12/14/2020,20874,3299,1493163,13,1242143
12/21/2020,19836,3301,1361197,11,938010
12/28/2020,22423,3280,1458113,13,519683
1/4/2021,22711,3316,1582870,11,507868
1/11/2021,19018,3278,1508647,8,434450
1/18/2021,18350,3315,1515305,5,332333
1/25/2021,16896,3324,1504764,9,274755
2/1/2021,16098,3295,1487296,11,204459
2/8/2021,14079,3246,1443873,6,167007
2/15/2021,12591,3256,1387354,4,110273
2/22/2021,13344,3276,1550083,5,117381
3/1/2021,13000,3278,1543291,9,82986
3/8/2021,14077,3284,1559093,6,61707
3/15/2021,14574,3227,1551445,3,44199
3/22/2021,15354,3201,1599192,4,33740
3/29/2021,15993,3257,1602279,4,22668
